kind,id,file,declaration,axioms,n_axioms,uses_sorry_axiom,beyond_standard,status,elapsed_seconds
certificate,verina_advanced_17__T2_helper_extract__0,artifacts/certificates/verina_advanced_17/verina_advanced_17__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,1.13
certificate,verina_advanced_18__T1_let_intro__0,artifacts/certificates/verina_advanced_18/verina_advanced_18__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.447
certificate,verina_advanced_18__T2_helper_extract__0,artifacts/certificates/verina_advanced_18/verina_advanced_18__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.514
certificate,verina_advanced_19__T1_let_intro__0,artifacts/certificates/verina_advanced_19/verina_advanced_19__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,1.16
certificate,verina_advanced_19__T2_helper_extract__0,artifacts/certificates/verina_advanced_19/verina_advanced_19__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,1.183
certificate,verina_advanced_2__T1_let_intro__0,artifacts/certificates/verina_advanced_2/verina_advanced_2__T1_let_intro__0.lean,rp_equiv_rfl,propext,1,False,,clean,1.472
certificate,verina_advanced_2__T2_helper_extract__0,artifacts/certificates/verina_advanced_2/verina_advanced_2__T2_helper_extract__0.lean,rp_equiv_rfl,propext,1,False,,clean,1.476
certificate,verina_advanced_2__T3_comm_swap__0,artifacts/certificates/verina_advanced_2/verina_advanced_2__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,10.263
certificate,verina_advanced_2__T3_comm_swap__1,artifacts/certificates/verina_advanced_2/verina_advanced_2__T3_comm_swap__1.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,10.072
certificate,verina_advanced_2__T3_comm_swap__2,artifacts/certificates/verina_advanced_2/verina_advanced_2__T3_comm_swap__2.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,9.667
certificate,verina_advanced_20__T1_let_intro__0,artifacts/certificates/verina_advanced_20/verina_advanced_20__T1_let_intro__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.248
certificate,verina_advanced_20__T2_helper_extract__0,artifacts/certificates/verina_advanced_20/verina_advanced_20__T2_helper_extract__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.283
certificate,verina_advanced_21__T1_let_intro__0,artifacts/certificates/verina_advanced_21/verina_advanced_21__T1_let_intro__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.578
certificate,verina_advanced_21__T2_helper_extract__0,artifacts/certificates/verina_advanced_21/verina_advanced_21__T2_helper_extract__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.63
certificate,verina_advanced_21__T3_comm_swap__1,artifacts/certificates/verina_advanced_21/verina_advanced_21__T3_comm_swap__1.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,1.731
certificate,verina_advanced_21__T4_cond_invert__0,artifacts/certificates/verina_advanced_21/verina_advanced_21__T4_cond_invert__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,2.328
certificate,verina_advanced_22__T1_let_intro__0,artifacts/certificates/verina_advanced_22/verina_advanced_22__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.029
certificate,verina_advanced_22__T2_helper_extract__0,artifacts/certificates/verina_advanced_22/verina_advanced_22__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.049
certificate,verina_advanced_23__T1_let_intro__0,artifacts/certificates/verina_advanced_23/verina_advanced_23__T1_let_intro__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.552
certificate,verina_advanced_23__T2_helper_extract__0,artifacts/certificates/verina_advanced_23/verina_advanced_23__T2_helper_extract__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.634
certificate,verina_advanced_23__T4_cond_invert__0,artifacts/certificates/verina_advanced_23/verina_advanced_23__T4_cond_invert__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,1.746
certificate,verina_advanced_24__T1_let_intro__0,artifacts/certificates/verina_advanced_24/verina_advanced_24__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.987
certificate,verina_advanced_24__T2_helper_extract__0,artifacts/certificates/verina_advanced_24/verina_advanced_24__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.045
certificate,verina_advanced_25__T1_let_intro__0,artifacts/certificates/verina_advanced_25/verina_advanced_25__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,4.808
certificate,verina_advanced_25__T2_helper_extract__0,artifacts/certificates/verina_advanced_25/verina_advanced_25__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,4.795
certificate,verina_advanced_25__T3_comm_swap__0,artifacts/certificates/verina_advanced_25/verina_advanced_25__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,9.36
certificate,verina_advanced_27__T1_let_intro__0,artifacts/certificates/verina_advanced_27/verina_advanced_27__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.258
certificate,verina_advanced_27__T2_helper_extract__0,artifacts/certificates/verina_advanced_27/verina_advanced_27__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.223
certificate,verina_advanced_29__T1_let_intro__0,artifacts/certificates/verina_advanced_29/verina_advanced_29__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.95
certificate,verina_advanced_29__T2_helper_extract__0,artifacts/certificates/verina_advanced_29/verina_advanced_29__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.772
certificate,verina_advanced_29__T3_comm_swap__0,artifacts/certificates/verina_advanced_29/verina_advanced_29__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,2.493
certificate,verina_advanced_29__T3_comm_swap__1,artifacts/certificates/verina_advanced_29/verina_advanced_29__T3_comm_swap__1.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,3.572
certificate,verina_advanced_3__T1_let_intro__0,artifacts/certificates/verina_advanced_3/verina_advanced_3__T1_let_intro__0.lean,rp_equiv_rfl,propext,1,False,,clean,1.17
certificate,verina_advanced_3__T2_helper_extract__0,artifacts/certificates/verina_advanced_3/verina_advanced_3__T2_helper_extract__0.lean,rp_equiv_rfl,propext,1,False,,clean,1.2
certificate,verina_advanced_3__T3_comm_swap__0,artifacts/certificates/verina_advanced_3/verina_advanced_3__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,10.184
certificate,verina_advanced_3__T3_comm_swap__1,artifacts/certificates/verina_advanced_3/verina_advanced_3__T3_comm_swap__1.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,9.637
certificate,verina_advanced_3__T3_comm_swap__2,artifacts/certificates/verina_advanced_3/verina_advanced_3__T3_comm_swap__2.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,10.648
certificate,verina_advanced_30__T1_let_intro__0,artifacts/certificates/verina_advanced_30/verina_advanced_30__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.939
certificate,verina_advanced_30__T2_helper_extract__0,artifacts/certificates/verina_advanced_30/verina_advanced_30__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.93
certificate,verina_advanced_31__T1_let_intro__0,artifacts/certificates/verina_advanced_31/verina_advanced_31__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,3.16
certificate,verina_advanced_31__T2_helper_extract__0,artifacts/certificates/verina_advanced_31/verina_advanced_31__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,3.143
certificate,verina_advanced_32__T1_let_intro__0,artifacts/certificates/verina_advanced_32/verina_advanced_32__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,27.343
certificate,verina_advanced_32__T2_helper_extract__0,artifacts/certificates/verina_advanced_32/verina_advanced_32__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,27.335
certificate,verina_advanced_33__T1_let_intro__0,artifacts/certificates/verina_advanced_33/verina_advanced_33__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,3.057
certificate,verina_advanced_33__T2_helper_extract__0,artifacts/certificates/verina_advanced_33/verina_advanced_33__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,2.989
certificate,verina_advanced_34__T1_let_intro__0,artifacts/certificates/verina_advanced_34/verina_advanced_34__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,3.379
certificate,verina_advanced_34__T2_helper_extract__0,artifacts/certificates/verina_advanced_34/verina_advanced_34__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,3.27
certificate,verina_advanced_35__T1_let_intro__0,artifacts/certificates/verina_advanced_35/verina_advanced_35__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.181
certificate,verina_advanced_35__T2_helper_extract__0,artifacts/certificates/verina_advanced_35/verina_advanced_35__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.146
certificate,verina_advanced_35__T3_comm_swap__0,artifacts/certificates/verina_advanced_35/verina_advanced_35__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,4.575
certificate,verina_advanced_36__T1_let_intro__0,artifacts/certificates/verina_advanced_36/verina_advanced_36__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.878
certificate,verina_advanced_36__T2_helper_extract__0,artifacts/certificates/verina_advanced_36/verina_advanced_36__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.889
certificate,verina_advanced_37__T1_let_intro__0,artifacts/certificates/verina_advanced_37/verina_advanced_37__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.898
certificate,verina_advanced_37__T2_helper_extract__0,artifacts/certificates/verina_advanced_37/verina_advanced_37__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.933
certificate,verina_advanced_38__T1_let_intro__0,artifacts/certificates/verina_advanced_38/verina_advanced_38__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,0.955
certificate,verina_advanced_38__T2_helper_extract__0,artifacts/certificates/verina_advanced_38/verina_advanced_38__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,0.987
certificate,verina_advanced_38__T3_comm_swap__0,artifacts/certificates/verina_advanced_38/verina_advanced_38__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,1.369
certificate,verina_advanced_38__T4_cond_invert__0,artifacts/certificates/verina_advanced_38/verina_advanced_38__T4_cond_invert__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,1.545
certificate,verina_advanced_39__T1_let_intro__0,artifacts/certificates/verina_advanced_39/verina_advanced_39__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.932
certificate,verina_advanced_39__T2_helper_extract__0,artifacts/certificates/verina_advanced_39/verina_advanced_39__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.932
certificate,verina_advanced_4__T1_let_intro__0,artifacts/certificates/verina_advanced_4/verina_advanced_4__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,24.907
certificate,verina_advanced_4__T2_helper_extract__0,artifacts/certificates/verina_advanced_4/verina_advanced_4__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,24.724
certificate,verina_advanced_40__T1_let_intro__0,artifacts/certificates/verina_advanced_40/verina_advanced_40__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.918
certificate,verina_advanced_40__T2_helper_extract__0,artifacts/certificates/verina_advanced_40/verina_advanced_40__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.948
certificate,verina_advanced_41__T1_let_intro__0,artifacts/certificates/verina_advanced_41/verina_advanced_41__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,0.915
certificate,verina_advanced_41__T2_helper_extract__0,artifacts/certificates/verina_advanced_41/verina_advanced_41__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,0.938
certificate,verina_advanced_41__T4_cond_invert__0,artifacts/certificates/verina_advanced_41/verina_advanced_41__T4_cond_invert__0.lean,rp_equiv_simp_only,propext,1,False,,clean,1.366
certificate,verina_advanced_41__T5_branch_extract__0,artifacts/certificates/verina_advanced_41/verina_advanced_41__T5_branch_extract__0.lean,rp_equiv_rfl,,0,False,,clean,0.985
certificate,verina_advanced_42__T1_let_intro__0,artifacts/certificates/verina_advanced_42/verina_advanced_42__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,0.991
certificate,verina_advanced_42__T2_helper_extract__0,artifacts/certificates/verina_advanced_42/verina_advanced_42__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,0.93
certificate,verina_advanced_43__T1_let_intro__0,artifacts/certificates/verina_advanced_43/verina_advanced_43__T1_let_intro__0.lean,rp_equiv_rfl,propext,1,False,,clean,23.709
certificate,verina_advanced_43__T2_helper_extract__0,artifacts/certificates/verina_advanced_43/verina_advanced_43__T2_helper_extract__0.lean,rp_equiv_rfl,propext,1,False,,clean,23.613
certificate,verina_advanced_43__T3_comm_swap__0,artifacts/certificates/verina_advanced_43/verina_advanced_43__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Classical.choice, Quot.sound",3,False,,clean,24.933
certificate,verina_advanced_44__T1_let_intro__0,artifacts/certificates/verina_advanced_44/verina_advanced_44__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.274
certificate,verina_advanced_44__T2_helper_extract__0,artifacts/certificates/verina_advanced_44/verina_advanced_44__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.285
certificate,verina_advanced_44__T3_comm_swap__0,artifacts/certificates/verina_advanced_44/verina_advanced_44__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,11.438
certificate,verina_advanced_44__T3_comm_swap__1,artifacts/certificates/verina_advanced_44/verina_advanced_44__T3_comm_swap__1.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,70.152
certificate,verina_advanced_44__T3_comm_swap__2,artifacts/certificates/verina_advanced_44/verina_advanced_44__T3_comm_swap__2.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,7.942
certificate,verina_advanced_45__T1_let_intro__0,artifacts/certificates/verina_advanced_45/verina_advanced_45__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.854
certificate,verina_advanced_45__T2_helper_extract__0,artifacts/certificates/verina_advanced_45/verina_advanced_45__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.941
certificate,verina_advanced_46__T1_let_intro__0,artifacts/certificates/verina_advanced_46/verina_advanced_46__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,1.018
certificate,verina_advanced_46__T2_helper_extract__0,artifacts/certificates/verina_advanced_46/verina_advanced_46__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.995
certificate,verina_advanced_47__T1_let_intro__0,artifacts/certificates/verina_advanced_47/verina_advanced_47__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.96
certificate,verina_advanced_47__T2_helper_extract__0,artifacts/certificates/verina_advanced_47/verina_advanced_47__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.952
certificate,verina_advanced_49__T1_let_intro__0,artifacts/certificates/verina_advanced_49/verina_advanced_49__T1_let_intro__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.308
certificate,verina_advanced_49__T2_helper_extract__0,artifacts/certificates/verina_advanced_49/verina_advanced_49__T2_helper_extract__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.306
certificate,verina_advanced_5__T1_let_intro__0,artifacts/certificates/verina_advanced_5/verina_advanced_5__T1_let_intro__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.655
certificate,verina_advanced_5__T2_helper_extract__0,artifacts/certificates/verina_advanced_5/verina_advanced_5__T2_helper_extract__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.679
certificate,verina_advanced_50__T1_let_intro__0,artifacts/certificates/verina_advanced_50/verina_advanced_50__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.171
certificate,verina_advanced_50__T2_helper_extract__0,artifacts/certificates/verina_advanced_50/verina_advanced_50__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.193
certificate,verina_advanced_51__T1_let_intro__0,artifacts/certificates/verina_advanced_51/verina_advanced_51__T1_let_intro__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.045
certificate,verina_advanced_51__T2_helper_extract__0,artifacts/certificates/verina_advanced_51/verina_advanced_51__T2_helper_extract__0.lean,rp_equiv_rfl,"propext, Quot.sound",2,False,,clean,1.051
certificate,verina_advanced_52__T1_let_intro__0,artifacts/certificates/verina_advanced_52/verina_advanced_52__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.924
certificate,verina_advanced_52__T2_helper_extract__0,artifacts/certificates/verina_advanced_52/verina_advanced_52__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.922
certificate,verina_advanced_52__T4_cond_invert__0,artifacts/certificates/verina_advanced_52/verina_advanced_52__T4_cond_invert__0.lean,rp_equiv_simp_only,propext,1,False,,clean,1.117
certificate,verina_advanced_54__T1_let_intro__0,artifacts/certificates/verina_advanced_54/verina_advanced_54__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,0.809
certificate,verina_advanced_54__T2_helper_extract__0,artifacts/certificates/verina_advanced_54/verina_advanced_54__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,0.828
certificate,verina_advanced_54__T3_comm_swap__0,artifacts/certificates/verina_advanced_54/verina_advanced_54__T3_comm_swap__0.lean,rp_equiv_simp_only,propext,1,False,,clean,0.906
certificate,verina_advanced_56__T1_let_intro__0,artifacts/certificates/verina_advanced_56/verina_advanced_56__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,0.841
certificate,verina_advanced_56__T2_helper_extract__0,artifacts/certificates/verina_advanced_56/verina_advanced_56__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,0.839
certificate,verina_advanced_58__T1_let_intro__0,artifacts/certificates/verina_advanced_58/verina_advanced_58__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.931
certificate,verina_advanced_58__T2_helper_extract__0,artifacts/certificates/verina_advanced_58/verina_advanced_58__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.958
certificate,verina_advanced_59__T1_let_intro__0,artifacts/certificates/verina_advanced_59/verina_advanced_59__T1_let_intro__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.301
certificate,verina_advanced_59__T2_helper_extract__0,artifacts/certificates/verina_advanced_59/verina_advanced_59__T2_helper_extract__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.301
certificate,verina_advanced_59__T3_comm_swap__0,artifacts/certificates/verina_advanced_59/verina_advanced_59__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,1.478
certificate,verina_advanced_6__T1_let_intro__0,artifacts/certificates/verina_advanced_6/verina_advanced_6__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,0.846
certificate,verina_advanced_6__T2_helper_extract__0,artifacts/certificates/verina_advanced_6/verina_advanced_6__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,0.838
certificate,verina_advanced_60__T1_let_intro__0,artifacts/certificates/verina_advanced_60/verina_advanced_60__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.841
certificate,verina_advanced_60__T2_helper_extract__0,artifacts/certificates/verina_advanced_60/verina_advanced_60__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.858
certificate,verina_advanced_61__T1_let_intro__0,artifacts/certificates/verina_advanced_61/verina_advanced_61__T1_let_intro__0.lean,rp_equiv_rfl,,0,False,,clean,0.871
certificate,verina_advanced_61__T2_helper_extract__0,artifacts/certificates/verina_advanced_61/verina_advanced_61__T2_helper_extract__0.lean,rp_equiv_rfl,,0,False,,clean,0.87
certificate,verina_advanced_61__T3_comm_swap__0,artifacts/certificates/verina_advanced_61/verina_advanced_61__T3_comm_swap__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,1.22
certificate,verina_advanced_61__T4_cond_invert__0,artifacts/certificates/verina_advanced_61/verina_advanced_61__T4_cond_invert__0.lean,rp_equiv_simp_only,propext,1,False,,clean,1.1
certificate,verina_advanced_62__T1_let_intro__0,artifacts/certificates/verina_advanced_62/verina_advanced_62__T1_let_intro__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.512
certificate,verina_advanced_62__T2_helper_extract__0,artifacts/certificates/verina_advanced_62/verina_advanced_62__T2_helper_extract__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.533
certificate,verina_advanced_62__T4_cond_invert__0,artifacts/certificates/verina_advanced_62/verina_advanced_62__T4_cond_invert__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,1.794
certificate,verina_advanced_63__T1_let_intro__0,artifacts/certificates/verina_advanced_63/verina_advanced_63__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.877
certificate,verina_advanced_63__T2_helper_extract__0,artifacts/certificates/verina_advanced_63/verina_advanced_63__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.914
certificate,verina_advanced_64__T1_let_intro__0,artifacts/certificates/verina_advanced_64/verina_advanced_64__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.824
certificate,verina_advanced_64__T2_helper_extract__0,artifacts/certificates/verina_advanced_64/verina_advanced_64__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.86
certificate,verina_advanced_65__T1_let_intro__0,artifacts/certificates/verina_advanced_65/verina_advanced_65__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.834
certificate,verina_advanced_65__T2_helper_extract__0,artifacts/certificates/verina_advanced_65/verina_advanced_65__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.832
certificate,verina_advanced_66__T1_let_intro__0,artifacts/certificates/verina_advanced_66/verina_advanced_66__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,propext,1,False,,clean,0.881
certificate,verina_advanced_66__T2_helper_extract__0,artifacts/certificates/verina_advanced_66/verina_advanced_66__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,propext,1,False,,clean,0.915
certificate,verina_advanced_67__T1_let_intro__0,artifacts/certificates/verina_advanced_67/verina_advanced_67__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.863
certificate,verina_advanced_67__T2_helper_extract__0,artifacts/certificates/verina_advanced_67/verina_advanced_67__T2_helper_extract__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.869
certificate,verina_advanced_68__T1_let_intro__0,artifacts/certificates/verina_advanced_68/verina_advanced_68__T1_let_intro__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.502
certificate,verina_advanced_68__T2_helper_extract__0,artifacts/certificates/verina_advanced_68/verina_advanced_68__T2_helper_extract__0.lean,rp_equiv_delta_rfl,"propext, Quot.sound",2,False,,clean,1.523
certificate,verina_advanced_68__T4_cond_invert__0,artifacts/certificates/verina_advanced_68/verina_advanced_68__T4_cond_invert__0.lean,rp_equiv_simp_only,"propext, Quot.sound",2,False,,clean,1.786
certificate,verina_advanced_69__T1_let_intro__0,artifacts/certificates/verina_advanced_69/verina_advanced_69__T1_let_intro__0.lean,rp_equiv_rfl_nosmart,,0,False,,clean,0.902
