task_id,tier,transformation,severity,equivalence_class,applicable,inapplicable_reason,candidate_generated,n_variants,variant_ids,code_loc_original,code_loc_refactored,structural_metadata
verina_advanced_11,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],5,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_11,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],5,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_11,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],5,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_12,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_12__T1_let_intro__0'],5,7.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_12,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_12__T2_helper_extract__0'],5,7.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_12,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],5,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_12,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],5,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_12,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],5,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_13,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_13__T1_let_intro__0'],29,31.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_13,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_13__T2_helper_extract__0'],29,31.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_13,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],29,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_13,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],29,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_13,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],29,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_14,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_14__T1_let_intro__0'],14,16.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 2}"
verina_advanced_14,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_14__T2_helper_extract__0'],14,16.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 2}"
verina_advanced_14,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],14,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 2}"
verina_advanced_14,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],14,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 2}"
verina_advanced_14,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],14,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 2}"
verina_advanced_15,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_15__T1_let_intro__0'],17,19.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_15,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_15__T2_helper_extract__0'],17,19.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_15,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],17,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_15,advanced,T4_cond_invert,E,theorem_certified,True,,True,1,['verina_advanced_15__T4_cond_invert__0'],17,17.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_15,advanced,T5_branch_extract,S,definitional,False,let_rec_in_branch,False,0,[],17,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 0}"
verina_advanced_16,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_16__T1_let_intro__0'],13,15.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_16,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_16__T2_helper_extract__0'],13,15.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_16,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],13,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_16,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],13,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_16,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],13,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_17,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_17__T1_let_intro__0'],2,4.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_17,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_17__T2_helper_extract__0'],2,4.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_17,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],2,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_17,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],2,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_17,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],2,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_18,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_18__T1_let_intro__0'],2,4.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_18,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_18__T2_helper_extract__0'],2,4.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_18,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],2,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_18,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],2,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_18,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],2,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_19,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_19__T1_let_intro__0'],2,4.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_19,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_19__T2_helper_extract__0'],2,4.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_19,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],2,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_19,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],2,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_19,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],2,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 0, 'n_plus': 0}"
verina_advanced_2,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_2__T1_let_intro__0'],16,18.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 5}"
verina_advanced_2,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_2__T2_helper_extract__0'],16,18.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 5}"
verina_advanced_2,advanced,T3_comm_swap,E,theorem_certified,True,,True,3,"['verina_advanced_2__T3_comm_swap__0', 'verina_advanced_2__T3_comm_swap__1', 'verina_advanced_2__T3_comm_swap__2']",16,16.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 5}"
verina_advanced_2,advanced,T4_cond_invert,E,theorem_certified,False,do_block,False,0,[],16,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 5}"
verina_advanced_2,advanced,T5_branch_extract,S,definitional,False,do_block,False,0,[],16,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 5}"
verina_advanced_20,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_20__T1_let_intro__0'],7,9.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 0}"
verina_advanced_20,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_20__T2_helper_extract__0'],7,9.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 0}"
verina_advanced_20,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],7,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 0}"
verina_advanced_20,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],7,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 0}"
verina_advanced_20,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],7,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 2, 'n_plus': 0}"
verina_advanced_21,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_21__T1_let_intro__0'],24,26.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 1}"
verina_advanced_21,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_21__T2_helper_extract__0'],24,26.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 1}"
verina_advanced_21,advanced,T3_comm_swap,E,theorem_certified,True,,True,2,"['verina_advanced_21__T3_comm_swap__0', 'verina_advanced_21__T3_comm_swap__1']",24,24.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 1}"
verina_advanced_21,advanced,T4_cond_invert,E,theorem_certified,True,,True,1,['verina_advanced_21__T4_cond_invert__0'],24,24.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 1}"
verina_advanced_21,advanced,T5_branch_extract,S,definitional,False,bindings_before_tail_if,False,0,[],24,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 3, 'n_plus': 1}"
verina_advanced_22,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_22__T1_let_intro__0'],12,14.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_22,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_22__T2_helper_extract__0'],12,14.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_22,advanced,T3_comm_swap,E,theorem_certified,True,,True,1,['verina_advanced_22__T3_comm_swap__0'],12,12.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_22,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],12,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_22,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],12,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_23,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_23__T1_let_intro__0'],8,10.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_23,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_23__T2_helper_extract__0'],8,10.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_23,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],8,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_23,advanced,T4_cond_invert,E,theorem_certified,True,,True,1,['verina_advanced_23__T4_cond_invert__0'],8,8.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_23,advanced,T5_branch_extract,S,definitional,False,let_rec_in_branch,False,0,[],8,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 4, 'n_plus': 0}"
verina_advanced_24,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_24__T1_let_intro__0'],8,10.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_24,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_24__T2_helper_extract__0'],8,10.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_24,advanced,T3_comm_swap,E,theorem_certified,False,no_commutative_operator_occurrence,False,0,[],8,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_24,advanced,T4_cond_invert,E,theorem_certified,False,no_tail_if_then_else,False,0,[],8,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_24,advanced,T5_branch_extract,S,definitional,False,no_tail_if_then_else,False,0,[],8,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': False, 'code_has_let_rec': True, 'code_self_recursive': False, 'code_aux_nonempty': False, 'n_if': 1, 'n_plus': 0}"
verina_advanced_25,advanced,T1_let_intro,D,definitional,True,,True,1,['verina_advanced_25__T1_let_intro__0'],10,12.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 2}"
verina_advanced_25,advanced,T2_helper_extract,S,definitional,True,,True,1,['verina_advanced_25__T2_helper_extract__0'],10,12.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 2}"
verina_advanced_25,advanced,T3_comm_swap,E,theorem_certified,True,,True,1,['verina_advanced_25__T3_comm_swap__0'],10,10.0,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 2}"
verina_advanced_25,advanced,T4_cond_invert,E,theorem_certified,False,do_block,False,0,[],10,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 2}"
verina_advanced_25,advanced,T5_branch_extract,S,definitional,False,do_block,False,0,[],10,,"{'code_has_def_level_termination': False, 'code_has_where': False, 'code_has_do': True, 'code_has_let_rec': False, 'code_self_recursive': False, 'code_aux_nonempty': True, 'n_if': 2, 'n_plus': 2}"
