task_id,category,reference_proof_status,has_reference_proof,compiles_in_pinned_env,in_construction_population,code_loc,code_tokens,reference_proof_loc,recursive,has_let_rec,self_recursive,has_where,n_applicable_families,applicable_families,n_certified_variants
verina_advanced_42,advanced,sorry,False,True,True,3,18,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_43,advanced,sorry,False,True,True,14,122,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_advanced_44,advanced,sorry,False,True,True,23,177,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,5
verina_advanced_45,advanced,sorry,False,True,True,10,80,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_46,advanced,sorry,False,True,True,24,170,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_47,advanced,sorry,False,True,True,21,260,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_48,advanced,sorry,False,True,True,21,135,,True,True,False,False,0,,0
verina_advanced_49,advanced,sorry,False,True,True,10,85,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_5,advanced,sorry,False,True,True,14,142,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_50,advanced,sorry,False,True,True,4,33,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_51,advanced,sorry,False,True,True,2,8,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_52,advanced,sorry,False,True,True,22,237,,True,True,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,3
verina_advanced_53,advanced,sorry,False,True,True,36,411,,True,True,False,False,1,T3_comm_swap,0
verina_advanced_54,advanced,sorry,False,True,True,4,31,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_advanced_55,advanced,sorry,False,False,False,4,22,,False,False,False,False,2,T1_let_intro;T2_helper_extract,0
verina_advanced_56,advanced,sorry,False,True,True,3,30,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_57,advanced,sorry,False,True,True,38,322,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,0
verina_advanced_58,advanced,sorry,False,True,True,7,84,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_59,advanced,sorry,False,True,True,14,91,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_advanced_6,advanced,sorry,False,True,True,3,35,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_60,advanced,sorry,False,True,True,8,76,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_61,advanced,sorry,False,True,True,8,135,,False,False,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,4
verina_advanced_62,advanced,sorry,False,True,True,20,223,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T4_cond_invert,3
verina_advanced_63,advanced,sorry,False,True,True,18,92,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_64,advanced,sorry,False,True,True,7,57,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_65,advanced,sorry,False,True,True,5,53,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_66,advanced,sorry,False,True,True,20,141,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_67,advanced,sorry,False,True,True,15,124,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_68,advanced,sorry,False,True,True,36,263,,True,True,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,3
verina_advanced_69,advanced,sorry,False,True,True,23,101,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_7,advanced,sorry,False,True,True,5,37,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_70,advanced,sorry,False,True,True,15,103,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_advanced_71,advanced,sorry,False,True,True,11,104,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_72,advanced,sorry,False,True,True,6,34,,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_advanced_73,advanced,sorry,False,True,True,16,81,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_74,advanced,sorry,False,False,False,13,120,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,0
verina_advanced_75,advanced,sorry,False,True,True,11,107,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,4
verina_advanced_76,advanced,sorry,False,True,True,21,231,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_advanced_77,advanced,sorry,False,True,True,1,6,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_78,advanced,sorry,False,True,True,1,3,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_79,advanced,sorry,False,True,True,22,121,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_8,advanced,sorry,False,True,True,26,223,,True,True,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,5
verina_advanced_80,advanced,sorry,False,True,True,14,131,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_advanced_81,advanced,sorry,False,True,True,29,186,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_advanced_9,advanced,sorry,False,True,True,7,43,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_1,basic,supplied,True,True,True,1,4,15.0,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_10,basic,supplied,True,True,True,1,8,2.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_100,basic,supplied,True,True,True,3,14,8.0,False,False,False,False,5,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert;T5_branch_extract,6
verina_basic_101,basic,supplied,True,True,True,2,9,5.0,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,4
verina_basic_102,basic,sorry,False,True,True,19,125,,True,True,True,False,2,T1_let_intro;T3_comm_swap,1
verina_basic_103,basic,sorry,False,True,True,3,22,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_104,basic,sorry,False,True,True,4,45,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_105,basic,sorry,False,True,True,3,16,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_106,basic,sorry,False,True,True,11,82,,True,True,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,3
verina_basic_107,basic,sorry,False,True,True,1,6,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_108,basic,sorry,False,True,True,7,56,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_11,basic,supplied,True,True,True,1,2,6.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_12,basic,supplied,True,True,True,1,4,2.0,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_13,basic,supplied,True,True,True,1,12,20.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_14,basic,supplied,True,True,True,1,15,2.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_15,basic,supplied,True,True,True,6,50,31.0,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_16,basic,supplied,True,True,True,3,26,8.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_17,basic,supplied,True,True,True,3,26,11.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_18,basic,sorry,False,True,True,4,36,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_19,basic,supplied,True,True,True,8,39,13.0,False,False,False,False,5,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert;T5_branch_extract,5
verina_basic_2,basic,supplied,True,True,True,1,2,10.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_20,basic,sorry,False,True,True,10,67,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_21,basic,sorry,False,True,True,16,69,,True,True,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,3
verina_basic_22,basic,sorry,False,False,False,3,56,,False,False,False,False,2,T1_let_intro;T2_helper_extract,0
verina_basic_23,basic,sorry,False,True,True,9,80,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_24,basic,sorry,False,True,True,12,119,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_25,basic,sorry,False,True,True,5,38,,False,False,False,False,5,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert;T5_branch_extract,5
verina_basic_26,basic,supplied,True,True,True,1,4,2.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_27,basic,sorry,False,True,True,12,74,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_28,basic,sorry,False,True,True,7,56,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_29,basic,supplied,True,True,True,1,3,20.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_3,basic,supplied,True,True,True,1,4,9.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_30,basic,supplied,True,True,True,1,15,21.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_31,basic,supplied,True,True,True,3,26,11.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_32,basic,supplied,True,True,True,3,31,29.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_33,basic,sorry,False,True,True,8,58,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_34,basic,sorry,False,True,True,1,19,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_35,basic,sorry,False,True,True,3,25,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_36,basic,supplied,True,True,True,3,27,11.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_37,basic,sorry,False,True,True,8,48,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_38,basic,sorry,False,True,True,3,26,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_39,basic,sorry,False,True,True,8,59,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T4_cond_invert,3
verina_basic_4,basic,supplied,True,True,True,1,6,9.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_40,basic,sorry,False,True,True,1,3,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_41,basic,sorry,False,True,True,10,52,,True,True,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,3
verina_basic_42,basic,supplied,True,True,True,1,6,2.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_43,basic,sorry,False,True,True,6,29,,True,False,True,False,2,T1_let_intro;T3_comm_swap,1
verina_basic_44,basic,supplied,True,True,True,4,62,26.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_45,basic,supplied,True,True,True,3,28,12.0,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_46,basic,sorry,False,True,True,7,55,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_47,basic,supplied,True,True,True,1,1,36.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_48,basic,supplied,True,True,True,10,61,39.0,True,True,False,False,4,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert,3
verina_basic_49,basic,supplied,True,True,True,6,72,58.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_5,basic,supplied,True,True,True,1,3,2.0,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_50,basic,supplied,True,True,True,1,8,15.0,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_51,basic,sorry,False,True,True,1,4,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_52,basic,sorry,False,True,True,1,12,,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_53,basic,supplied,True,True,True,4,26,14.0,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_54,basic,sorry,False,True,True,4,48,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_55,basic,supplied,True,True,True,1,8,2.0,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_56,basic,sorry,False,True,True,4,17,,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_57,basic,sorry,False,True,True,1,3,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_58,basic,sorry,False,True,True,1,3,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_59,basic,sorry,False,True,True,3,17,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,4
verina_basic_6,basic,supplied,True,True,True,3,29,40.0,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_60,basic,sorry,False,True,True,9,56,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_61,basic,sorry,False,True,True,9,28,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_62,basic,sorry,False,True,True,6,37,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_63,basic,sorry,False,True,True,15,87,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_64,basic,sorry,False,True,True,17,117,,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,5
verina_basic_65,basic,sorry,False,True,True,8,48,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_66,basic,supplied,True,True,True,1,8,3.0,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_67,basic,sorry,False,True,True,1,12,,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_68,basic,supplied,True,True,True,6,36,164.0,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_69,basic,sorry,False,True,True,1,3,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_7,basic,sorry,False,True,True,6,45,,True,True,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_70,basic,sorry,False,True,True,6,36,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_71,basic,sorry,False,True,True,10,84,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_72,basic,sorry,False,True,True,3,16,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_73,basic,sorry,False,True,True,8,64,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_74,basic,sorry,False,True,True,1,6,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_75,basic,sorry,False,True,True,1,8,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_76,basic,supplied,True,True,True,1,8,10.0,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_77,basic,sorry,False,True,True,3,21,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_78,basic,supplied,True,True,True,3,19,2.0,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_79,basic,sorry,False,True,True,4,32,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_8,basic,supplied,True,True,True,1,9,11.0,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_80,basic,sorry,False,True,True,1,3,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_81,basic,supplied,True,True,True,1,13,59.0,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_82,basic,sorry,False,True,True,5,28,,False,False,False,False,4,T1_let_intro;T2_helper_extract;T4_cond_invert;T5_branch_extract,4
verina_basic_83,basic,sorry,False,True,True,8,71,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_84,basic,sorry,False,True,True,1,4,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_85,basic,sorry,False,True,True,1,2,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_86,basic,sorry,False,True,True,4,32,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_87,basic,sorry,False,True,True,5,27,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_88,basic,sorry,False,True,True,1,1,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_89,basic,sorry,False,True,True,1,22,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_9,basic,supplied,True,True,True,1,13,27.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_90,basic,sorry,False,True,True,11,126,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_91,basic,supplied,True,True,True,6,30,3.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_92,basic,supplied,True,True,True,6,36,5.0,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_93,basic,sorry,False,True,True,4,23,,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_94,basic,sorry,False,True,True,8,64,,True,True,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,2
verina_basic_95,basic,supplied,True,True,True,5,41,121.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_96,basic,supplied,True,True,True,1,5,3.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_97,basic,supplied,True,True,True,1,3,24.0,False,False,False,False,2,T1_let_intro;T2_helper_extract,2
verina_basic_98,basic,supplied,True,True,True,1,2,2.0,False,False,False,False,3,T1_let_intro;T2_helper_extract;T3_comm_swap,3
verina_basic_99,basic,supplied,True,True,True,7,32,14.0,False,False,False,False,5,T1_let_intro;T2_helper_extract;T3_comm_swap;T4_cond_invert;T5_branch_extract,7
