model_id,task_id,n_valid_samples,n_variants,n_variants_with_disagreement,identical_outcomes,psr_first_valid,psr_mean,psr_min,psr_max,psr_range,psr_sd,psr_S_range,psr_E_range
goedel-prover-v2-8b,verina_advanced_6,4,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
goedel-prover-v2-8b,verina_advanced_72,1,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
goedel-prover-v2-8b,verina_basic_1,2,3,0,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
goedel-prover-v2-8b,verina_basic_100,5,6,2,False,0.6666666666666666,0.6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.13333333333333333,0.0,0.6666666666666667
goedel-prover-v2-8b,verina_basic_101,5,4,0,True,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0
goedel-prover-v2-8b,verina_basic_107,5,3,2,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0
goedel-prover-v2-8b,verina_basic_11,5,2,0,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
goedel-prover-v2-8b,verina_basic_12,5,3,1,False,0.3333333333333333,0.5999999999999999,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.13333333333333333,0.0,1.0
goedel-prover-v2-8b,verina_basic_14,1,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
goedel-prover-v2-8b,verina_basic_26,5,2,1,False,0.5,0.6,0.5,1.0,0.5,0.2,1.0,
goedel-prover-v2-8b,verina_basic_3,2,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
goedel-prover-v2-8b,verina_basic_36,1,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
goedel-prover-v2-8b,verina_basic_42,4,2,0,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
goedel-prover-v2-8b,verina_basic_43,1,1,0,True,1.0,1.0,1.0,1.0,0.0,0.0,,
goedel-prover-v2-8b,verina_basic_5,5,3,2,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0
goedel-prover-v2-8b,verina_basic_50,3,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
goedel-prover-v2-8b,verina_basic_55,4,4,1,False,0.75,0.6875,0.5,0.75,0.25,0.10825317547305482,0.5,0.0
goedel-prover-v2-8b,verina_basic_59,5,4,0,True,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0
goedel-prover-v2-8b,verina_basic_6,2,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
goedel-prover-v2-8b,verina_basic_66,3,4,3,False,0.5,0.5833333333333334,0.5,0.75,0.25,0.11785113019775792,1.0,1.0
goedel-prover-v2-8b,verina_basic_76,2,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
goedel-prover-v2-8b,verina_basic_78,5,3,1,False,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1632993161855452,0.0,1.0
goedel-prover-v2-8b,verina_basic_8,3,4,1,False,0.5,0.5833333333333334,0.5,0.75,0.25,0.11785113019775792,0.5,0.0
goedel-prover-v2-8b,verina_basic_91,4,2,1,False,1.0,0.875,0.5,1.0,0.5,0.21650635094610965,1.0,
goedel-prover-v2-8b,verina_basic_92,3,3,0,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0
goedel-prover-v2-8b,verina_basic_96,5,2,1,False,1.0,0.9,0.5,1.0,0.5,0.2,1.0,
goedel-prover-v2-8b,verina_basic_98,4,3,2,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,1.0
goedel-prover-v2-8b,verina_basic_99,4,7,3,False,0.5714285714285714,0.6071428571428571,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.11845088536983574,0.0,0.5
qwen3-14b,verina_basic_26,1,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
qwen3-14b,verina_basic_5,3,3,0,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
qwen3-14b,verina_basic_55,1,4,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
qwen3-14b,verina_basic_59,1,4,0,True,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
qwen3-14b,verina_basic_78,2,3,0,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
qwen3-32b,verina_advanced_6,1,2,0,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
qwen3-32b,verina_basic_12,1,3,0,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
qwen3-32b,verina_basic_15,1,4,0,True,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0
qwen3-32b,verina_basic_42,2,2,0,True,0.5,0.5,0.5,0.5,0.0,0.0,0.0,
qwen3-32b,verina_basic_78,2,3,0,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
